0.090136172080916+0.000000000000000i,0.114401463091350+0.007077233148813i,0.128829131476513+0.019394279040536i,0.128094831380518+0.033332578598086i,0.112099201775064+0.043604473112397i,0.086545154426810+0.046439663831557i,0.058933857904190+0.042927933582593i,0.031741943345591+0.034378057323329i,0.013792620845514+0.015212081036335i,0.023573728937145+0.006717201558987i,0.010896515190373+0.040741582496073i,-0.063867722127165+0.009966959241891i,0.002080294181669-0.107648187041680i,0.163237846730414+0.023604682799170i,-0.058417271199741+0.218371254043034i,-0.260192543175980-0.103458076793036i,0.148317361617446-0.276758493311363i,0.262851653605464+0.180187030044014i,-0.189711770615375+0.223056868239546i,-0.169326599877618-0.175317539334981i,0.143402734739550-0.115183460533835i,0.070386126991998+0.104482953557295i,-0.068175802349019+0.038768519268613i,-0.019327656894160-0.040038396394747i,0.021265281619754-0.008760270460607i,0.003622540785089+0.010261442763771i,-0.004517340045567+0.001367451234714i,-0.000468878329158-0.001820173257801i,0.000672597853697-0.000144050406684i,0.000038556957564+0.000228025640574i,-0.000070840547857+0.000008473386228i,-0.000001291467416-0.000020108888630i,0.000005129967315+0.000000000000000i,-0.000000400623412+0.000001020273659i,-0.000000964921496-0.000001580424052i,0.000000951565058-0.000006971802624i,0.000016665656016-0.000020006103898i,0.000083142687567-0.000027832992878i,0.000260054928326+0.000059142793164i,0.000529777405131+0.000505701860068i,0.000501527017181+0.001744664489154i,-0.000952921956543+0.003947639014607i,-0.005525183383709+0.006064118322172i,-0.014089175573588+0.005109567796448i,-0.024675686479558-0.002826667232807i,-0.032004257007674-0.019638171714757i,-0.029990855502040-0.042774743137363i,-0.015220524422581-0.065897483880807i,0.011706074678097-0.081448969798506i,0.046307576128795-0.082282846132055i,0.079431706638937-0.063437174906546i,0.098015371503347-0.026784801054568i,0.092004216450388+0.015330135336318i,0.063525145118815+0.045269002098725i,0.027362445320555+0.052458265191390i,0.000132609375791+0.040588116817302i,-0.010969610014631+0.022368601462194i,-0.009447897083818+0.008655483651058i,-0.002591496163256+0.002719781052324i,0.005032283666964+0.002050525980904i,0.013184159131171+0.002741758950135i,0.024220840360688+0.002258976049584i,0.040744398909640+0.000261139957335i,0.063561304716802-0.001489359243049i
0.344003576068478+0.000000000000000i,0.363578358832390+0.052343915788145i,0.340388346316787+0.101605166117501i,0.281270947652448+0.133002361100798i,0.203951680000617+0.139007198433457i,0.128622546958452+0.122212683043637i,0.069394442085383+0.092717963682127i,0.030213863112082+0.061264378014052i,0.009599894499847+0.033572249658248i,0.005302554402155+0.016346351916750i,0.001565273417342+0.015481293818175i,-0.015802445811608+0.006872247192784i,-0.006668848311930-0.025384439522992i,0.043091895018311-0.009046752639678i,0.013452175129209+0.066246676603856i,-0.094011878104925+0.017898517294045i,-0.020407893488074-0.123760832051437i,0.150170377712077-0.018685221351384i,0.011388620723993+0.166602407730252i,-0.167719994863490-0.000396424876967i,0.013158038212956-0.152221804114692i,0.123899890050710+0.022704131164206i,-0.026424498825413+0.090057495786836i,-0.058242759866057-0.024420343053831i,0.018885161839692-0.033397266482739i,0.016912540279078+0.012516376237707i,-0.007202107867791+0.007524749084599i,-0.002919059505088-0.003626332287962i,0.001605804757496-0.000974949084300i,0.000273810829603+0.000627462308801i,-0.000216826420055+0.000061318489792i,-0.000009252474264-0.000066344400683i,0.000017908394702-0.000000000000000i,-0.000000981318344+0.000004125637439i,-0.000002014374584-0.000001851330851i,-0.000000940798351-0.000008053572819i,0.000009944537387-0.000028035877195i,0.000072798991740-0.000070584494918i,0.000299523446996-0.000097947502768i,0.000887228039548+0.000117107324443i,0.001955408630890+0.001262051345882i,0.002945010338012+0.004706758514592i,0.001472082655987+0.012074421296080i,-0.007665356461473+0.023244274758431i,-0.031239442124139+0.032660730570603i,-0.071668024536883+0.026660075529350i,-0.117665124548259-0.012241169834979i,-0.140385173221713-0.090459838263560i,-0.106808008318404-0.186266337895028i,-0.008601298772132-0.250849737010834i,0.118294516271385-0.238721823068419i,0.210385037682949-0.146793403463681i,0.222751342446606-0.022675016961588i,0.162227814582246+0.070740561937364i,0.075903002729986+0.100982451845121i,0.010472733168494+0.079629865549757i,-0.016280206551639+0.039328983875461i,-0.012398294181763+0.004430566690259i,0.008120272637922-0.019306697181159i,0.039222070438283-0.036777819382466i,0.083128422280462-0.051974859079881i,0.143008991527090-0.062519391853920i,0.215733581578888-0.061052871033109i,0.288957689819060-0.040520413061155i
0.123146888454313+0.000000000000000i,0.113461793148912+0.002589510323312i,0.093860505968054-0.001162909488040i,0.071163089430381-0.009338255133899i,0.051096051094167-0.017577053570801i,0.036205606269103-0.021965008326868i,0.025961715143656-0.020854701318338i,0.017684434935464-0.015849662504736i,0.010908237209615-0.011980096756441i,0.010429609701501-0.008843088284462i,0.010088490126471+0.002707973966277i,-0.007613944944532+0.009619675241224i,-0.017797519106043-0.016444713793847i,0.025150163063709-0.031102004529322i,0.047809113086706+0.036146223983824i,-0.050490174019352+0.067068462412623i,-0.085140385412807-0.067355516552738i,0.084416381766079-0.096428864532832i,0.096373047778187+0.097697621484965i,-0.102803919275737+0.084071991947235i,-0.063107572102325-0.097239644403081i,0.082052947026995-0.039800374419712i,0.020045915427483+0.061462925757066i,-0.040726183494444+0.006905496516293i,-0.000252749428269-0.023798541656693i,0.012222503073809+0.001924557402162i,-0.001893827157012+0.005491302242200i,-0.002142659566567-0.001218283115730i,0.000617437756773-0.000717200105119i,0.000201166396104+0.000260590175560i,-0.000093729674671+0.000044839135452i,-0.000006702193596-0.000029036044303i,0.000007773218848-0.000000000000000i,-0.000000431166020+0.000001755471978i,-0.000000084722287-0.000000415027742i,0.000002266337140-0.000000055360529i,0.000009080548779+0.000006648845837i,0.000016359078659+0.000045895156774i,-0.000043311845972+0.000178858519800i,-0.000442986117194+0.000423567241023i,-0.001777427612662+0.000358783929594i,-0.004481739436259-0.001687313443901i,-0.006900356776400-0.008983962509728i,-0.002451814855611-0.023935315271646i,0.019925612703380-0.041425546360279i,0.066417181200939-0.042975899915594i,0.122712970512557-0.003469355626667i,0.149569079221328+0.084790436529240i,0.106753695191202+0.189463487723461i,-0.006663403820483+0.248475419589986i,-0.137453499714693+0.216980215846906i,-0.213989273872474+0.108785553808899i,-0.202576483698067-0.012880937437235i,-0.128617514468962-0.087203455691316i,-0.046250884747278-0.097559948963173i,0.006312099227122-0.068607102092459i,0.024502622438844-0.034513526220196i,0.024680436931366-0.014309951204009i,0.024363403318832-0.009302177534674i,0.032753118103261-0.012573793335139i,0.051192267548003-0.017034915769548i,0.076150460770005-0.018186480324231i,0.101168190884702-0.014413473475731i,0.118722006637899-0.007078187684494i
0.118905630577360+0.000000000000000i,0.138883724108326+0.028606816568900i,0.140864479892030+0.059032361727789i,0.123949911871072+0.081782435421838i,0.094061350108675+0.090097788881367i,0.060931943069323+0.083154174238423i,0.033083314327105+0.066386855070069i,0.012680999236237+0.046872646302050i,0.000265495208627+0.025143512756530i,0.005345404748001+0.008030096009961i,0.011047741261852+0.020582693983360i,-0.029401006344329+0.024157014028652i,-0.032989995446950-0.050911360746932i,0.085056323207902-0.042741911487702i,0.049463525829512+0.125916368187793i,-0.166542929430245+0.048237995676527i,-0.037471535526776-0.197673645032549i,0.210494467961760-0.019303574721386i,-0.001135274611921+0.200973717653611i,-0.171941612338640-0.017946750850037i,0.027195858879028-0.131708834807121i,0.090233388455227+0.028362262794147i,-0.023786461145904+0.055208791874663i,-0.030108997917383-0.016861893273543i,0.010328417672321-0.014597806540546i,0.006268809815626+0.005528801644736i,-0.002602512345958+0.002371769693675i,-0.000784166347071-0.001080821778200i,0.000396557651224-0.000223540239476i,0.000053600343960+0.000128516362218i,-0.000036724172444+0.000010243136203i,-0.000001355011423-0.000009188257489i,0.000001728633823-0.000000000000000i,-0.000001311713164-0.000000379020289i,-0.000003161254606-0.000005982725241i,0.000001841247711-0.000027865069368i,0.000060242863362-0.000085951850977i,0.000326922015401-0.000143638850032i,0.001089777646273+0.000144197047355i,0.002386603180292+0.001918628264844i,0.002632520454745+0.007255840376661i,-0.003457027288346+0.017261518643756i,-0.024588310051746+0.026742428796884i,-0.065156782649701+0.018836490780996i,-0.110566648920829-0.029962983854052i,-0.120557923216997-0.126862882317720i,-0.051227725701759-0.236318837926420i,0.098818120772538-0.285479119678927i,0.263020719810852-0.217313668246546i,0.344651015303334-0.049659501218195i,0.295074216404075+0.126435562189875i,0.154688860713095+0.217866784272690i,0.013633984529610+0.200189477992625i,-0.063054417473253+0.120322970020197i,-0.071293989945065+0.042260888881942i,-0.045693964047082-0.001054183456753i,-0.019347483186825-0.013022781361169i,-0.004876476164171-0.011385350904399i,0.000641299385335-0.009510008538258i,0.004604743621533-0.012057501977122i,0.013114968787136-0.018224041847608i,0.029920348247701-0.024670295620783i,0.055943595001945-0.026636345002891i,0.088086306656543-0.019235504489334i
0.128619523630305+0.000000000000000i,0.146101599110412+0.040165908613713i,0.142130939665664+0.078817410877270i,0.118591364714746+0.103924068362009i,0.084300456770491+0.109210641232586i,0.049984270847264+0.096456437892521i,0.023672499856110+0.073020529978485i,0.008538595260894+0.048752236331541i,-0.000719427420388+0.030696021186670i,-0.007489789374741+0.011136576288194i,0.008017630656843-0.004297582317130i,0.017244898858565+0.026560219098510i,-0.050206256314258+0.026714955778176i,-0.028359884448261-0.089199571659837i,0.140946032738984-0.018652888239458i,-0.007682213131706+0.194999249179015i,-0.236809754984020-0.050462106450061i,0.100973659759622-0.252400226638710i,0.235305958268510+0.144727502356689i,-0.168129112880139+0.190559282067895i,-0.132319438745775-0.165208569382288i,0.140006542094006-0.076741405044183i,0.034919320322127+0.103346579539717i,-0.066785245768324+0.009979349907701i,0.001189580066979-0.037861141988109i,0.018823185143574+0.004083146589346i,-0.003445677846016+0.008184065297590i,-0.003092997347957-0.002054166615694i,0.000987605796508-0.001004329428100i,0.000273817385194+0.000400283329303i,-0.000139465438578+0.000059456457655i,-0.000008678837350-0.000042165753264i,0.000011098675378-0.000000000000000i,-0.000000581169190+0.000002529750302i,-0.000000694219076-0.000000435098663i,-0.000000237873801-0.000001386418476i,0.000001648576501-0.000005399198245i,0.000015955782174-0.000014380895412i,0.000072156272841-0.000012467863911i,0.000206079501274+0.000088890511015i,0.000335150225717+0.000521645779572i,-0.000053044323581+0.001546991149102i,-0.002122303721166+0.002784516545079i,-0.006887903781001+0.002073293432472i,-0.012671813522876-0.004527523955804i,-0.012700819995603-0.019133632175303i,0.002114335318023-0.035740091507799i,0.033053259570923-0.038851547833856i,0.064766271859579-0.014606089296093i,0.072061271397628+0.032041565203873i,0.042231520477589+0.074190329646413i,-0.009346743306465+0.083563482779456i,-0.050423767660603+0.055886312188672i,-0.059764937772419+0.013383799250561i,-0.042079841699340-0.017180762065539i,-0.017524717665086-0.025705953110043i,-0.001962551091557-0.020028513324269i,0.001873225383614-0.013186873019910i,0.000076390608981-0.013000986284756i,0.000340403718946-0.020416570167561i,0.008580999264589-0.032079325974767i,0.028238247687878-0.042175724444080i,0.059149404281945-0.043506111864871i,0.095974668662456-0.029894600450706i
0.025129877171877+0.000000000000000i,0.022677849407336+0.021487399731152i,0.011758122034247+0.042079432576238i,-0.004519547933259+0.054879107137253i,-0.020321514964103+0.056362017052015i,-0.030450261906861+0.047799254780938i,-0.032409209487240+0.033604062430604i,-0.026815412730856+0.020337975697183i,-0.021011762841173+0.012317768425259i,-0.017364291877003+0.000413495088683i,0.002719916014256-0.007136148836008i,0.007094497935546+0.021635318816542i,-0.043048916498249+0.007606236723291i,0.004055070999256-0.068513729081908i,0.095799076567257+0.030919576551578i,-0.070901774683530+0.115167774148315i,-0.117037855557538-0.116337953697527i,0.154342714980852-0.098025782653702i,0.063310436388572+0.172495167631497i,-0.165477247581442+0.024366878694928i,0.007015442354598-0.137580670489235i,0.099627699042096+0.024355028980022i,-0.028135022188361+0.062965044398248i,-0.034728138983380-0.023362073749010i,0.015705974665100-0.016681903975740i,0.006949661450213+0.008919327578760i,-0.004366906138164+0.002493123147941i,-0.000761291743843-0.001865357193838i,0.000700992715199-0.000194067848790i,0.000039871080972+0.000233408898233i,-0.000069370061436+0.000006128082358i,-0.000000563024931-0.000018567769846i,0.000004560533790+0.000000000000000i,0.000000146808028+0.000001141436073i,-0.000000093621556+0.000000875582149i,-0.000002103343073+0.000002977091752i,-0.000014118286759+0.000003143956465i,-0.000046606143405-0.000026181863690i,-0.000063073743079-0.000172621427158i,0.000190021875086-0.000550149109357i,0.001408240168670-0.000922776345643i,0.004415754416448+0.000249537144689i,0.008210236702446+0.006570057006210i,0.006510229709324+0.021629058519207i,-0.012900117437626+0.041859103889212i,-0.059094191962730+0.048840608021484i,-0.120278909076423+0.014264170856393i,-0.155770433133486-0.074732909390969i,-0.119056267455533-0.188050163586274i,-0.002825608877640-0.259018532669938i,0.139517681441188-0.234011477731567i,0.228661782274378-0.121716860648578i,0.222413297683445+0.011297025522183i,0.144158586684739+0.095890050273955i,0.052963716405979+0.109568877979341i,-0.006537793923640+0.077028742626210i,-0.026492146895889+0.035798599089609i,-0.023058961632591+0.007418763017706i,-0.013883249713057-0.006516139921160i,-0.006947121796377-0.013201112195744i,-0.002008049167819-0.018314269681633i,0.003772546132755-0.022552764970383i,0.011723962417030-0.022934195657363i,0.020170988425813-0.015819395170920i
0.375906810601533+0.000000000000000i,0.415156417546751+0.053609385926988i,0.408954752800711+0.106781350481501i,0.359221961839561+0.143870479696950i,0.281124543818551+0.155366427133231i,0.195882897370498+0.141860518186839i,0.121174318963230+0.112688328670865i,0.064915962801312+0.078309077924444i,0.031195537575921+0.044861602079828i,0.019693812350060+0.026002519635051i,0.002662101237286+0.025330599931440i,-0.020487021410476-0.001492601833338i,0.016180201943750-0.030831893414908i,0.043799642326281+0.029262621896550i,-0.042257752797858+0.051828487316398i,-0.054777552314402-0.052553455970060i,0.055582180843600-0.053886694871369i,0.051403992309041+0.049977553594637i,-0.038449305158124+0.049468194751758i,-0.048320545391682-0.025876819774339i,0.016322098853269-0.046286451021321i,0.041505015723837+0.011066270139905i,-0.008883289609008+0.033648240470541i,-0.024179130338218-0.007770033724267i,0.006449753417752-0.015244948624766i,0.008385438606126+0.004728930093647i,-0.002998948972272+0.004004462603339i,-0.001649490280206-0.001642314686981i,0.000779518990265-0.000579461090936i,0.000169761005223+0.000322073958590i,-0.000116251246780+0.000039368931151i,-0.000006093698966-0.000036756904976i,0.000010262533072-0.000000000000000i,-0.000000105147515+0.000002680648892i,0.000000163970748+0.000001359056104i,-0.000000954056483+0.000006773356676i,-0.000016720744703+0.000019612058938i,-0.000082242290748+0.000026358486439i,-0.000253931399229-0.000060844932551i,-0.000511112721509-0.000495718393740i,-0.000481284977572-0.001682872988708i,0.000875264551891-0.003779692960076i,0.005080703355321-0.005869793291007i,0.012975051151730-0.005436310539479i,0.023224212960513+0.000770771333453i,0.032167890709039+0.014726113073350i,0.035298971726173+0.035976966366541i,0.028229169737673+0.061977248490192i,0.006583674779201+0.087328545996161i,-0.031255175421650+0.101479020562783i,-0.077282352459170+0.091184040658101i,-0.111819747667120+0.051764715330937i,-0.115255437841210-0.003007841544703i,-0.085254345150202-0.047294910801143i,-0.040007250091694-0.062951771606615i,-0.002744003528218-0.052361538015253i,0.015829641909817-0.032375340487884i,0.021130596318772-0.019022619093982i,0.026269809934056-0.018684785397308i,0.043346105993758-0.029315405129537i,0.080191019723463-0.044850849267493i,0.139717932294621-0.057416826321018i,0.218232493155389-0.058150334547685i,0.303470664162693-0.039600419443160i
-0.180527151269837+0.000000000000000i,-0.177690254743620-0.021986635006037i,-0.154440681065804-0.038352893642709i,-0.118383338155336-0.044505398841378i,-0.079915223715102-0.040626032624860i,-0.047228953528296-0.030575398707386i,-0.024542858323556-0.018557729398735i,-0.013194887213251-0.009844490155908i,-0.004233913094311-0.009099232312467i,0.009389967013997+0.002051060008321i,-0.013075434102208+0.022432669207780i,-0.040056571101350-0.033255080637256i,0.073423188742447-0.059175704794759i,0.072505196051006+0.138257679750100i,-0.224576068340297+0.066971842318407i,-0.030993101461210-0.317833869398060i,0.393326301009767+0.037316909440521i,-0.125050205885736+0.425743261219117i,-0.402020972694510-0.207384173973662i,0.258754956207502-0.329023242688528i,0.230349326257875+0.265568918922008i,-0.231911730165982+0.134260927975881i,-0.060972985543643-0.175069310554089i,0.115160521097809-0.016873299948758i,-0.002934066215861+0.066250029164783i,-0.033352408751589-0.007955452257857i,0.006622277202210-0.014661604262318i,0.005596118394076+0.003949527760056i,-0.001907766345122+0.001833687696689i,-0.000504195880914-0.000778556795967i,0.000273584197183-0.000110373192751i,0.000016248804038+0.000083557133696i,-0.000022199889486+0.000000000000000i,0.000001387439955-0.000004966511203i,0.000001986426490+0.000002235681336i,-0.000000762097760+0.000008652835728i,-0.000018890194866+0.000025960236191i,-0.000101776211524+0.000041644243875i,-0.000336247106796-0.000057267978553i,-0.000714914171798-0.000638096149289i,-0.000671405454770-0.002344874659129i,0.001598304158601-0.005394511330739i,0.008909195009863-0.007684803849154i,0.022108155868107-0.003030053745965i,0.034676971071989+0.016507430372082i,0.030893001099819+0.051460427094230i,-0.004331763883573+0.085135707509101i,-0.066486248942299+0.087795054312567i,-0.122992975388640+0.040696589270162i,-0.133157311326273-0.039598579609673i,-0.084227156650557-0.106698964741358i,-0.006158111241632-0.121333173820717i,0.053531588474683-0.083536823915461i,0.068844631800066-0.027276280017341i,0.048990141608271+0.012723536169834i,0.019868395712568+0.025548036323479i,-0.000618299617938+0.021600088321679i,-0.010868978780711+0.015778452858533i,-0.018752502876380+0.015985763857967i,-0.032548453451569+0.022287584169965i,-0.056614010676770+0.030624762654114i,-0.090464388657103+0.035743313653670i,-0.128726512503757+0.033012265427525i,-0.162109666003596+0.020372937543223i
0.183396107444720+0.000000000000000i,0.185705628079359+0.034892291435629i,0.163068991501003+0.066621746107475i,0.122168271119922+0.085340184026289i,0.075494062579584+0.086735280223566i,0.035210551287437+0.073503097882331i,0.008387495151087+0.052815592535855i,-0.004432501095447+0.032899333780544i,-0.009427925844325+0.018356938604153i,-0.009759427893478+0.004270402988419i,0.004459075817098-0.002266561247531i,0.004838981361426+0.021586307307587i,-0.043682760922312+0.006741467275157i,0.000842748945103-0.076277967290228i,0.119314838510395+0.022401536644817i,-0.060745763037197+0.164245765988394i,-0.197891359796729-0.113591748587528i,0.170554766059560-0.207820086000031i,0.188553537460474+0.215795303267579i,-0.235142354783788+0.145229448026377i,-0.091457321652916-0.223196118363493i,0.185725713451921-0.042484859104155i,0.008326027120370+0.135955217024201i,-0.087684880259216-0.009003409754073i,0.013555067744043-0.049824292277858i,0.024902219658388+0.011384734911731i,-0.007333543684376+0.010908006568061i,-0.004159962715694-0.003913991749832i,0.001784876867248-0.001364823644460i,0.000376378558224+0.000706057951779i,-0.000244275647189+0.000082752396822i,-0.000012263509600-0.000074236230425i,0.000019722327248-0.000000000000000i,-0.000001450264668+0.000004299871145i,-0.000002813678968-0.000003460465625i,-0.000000107297691-0.000015498679904i,0.000028335053082-0.000051289215040i,0.000173123924236-0.000106268954725i,0.000637980490433-0.000022815799975i,0.001615462287924+0.000835952625502i,0.002582158544826+0.003926768637230i,0.000791770059165+0.010984625840217i,-0.009881394504626+0.021223382069394i,-0.036495888879969+0.026585016237398i,-0.078395929301040+0.009965035146848i,-0.116859785007531-0.045885994207067i,-0.116475159306710-0.138645144876532i,-0.047956170841897-0.232275638713646i,0.080313296664625-0.270513017440766i,0.214066313992213-0.217333531748571i,0.285738902667203-0.090514798543678i,0.263594734089025+0.046983576443846i,0.172284187454365+0.132752617858745i,0.068006570213909+0.145522699391663i,-0.004028468044241+0.107554313177559i,-0.031927251936891+0.056391113402950i,-0.029178620549240+0.017171425353628i,-0.014208061349627-0.005058235677884i,0.002974017334785-0.017045105256748i,0.022012507900612-0.026425531635983i,0.046946829714290-0.035954609922558i,0.080483978060358-0.042974723435690i,0.120345815235392-0.041816960415105i,0.158447716627662-0.027590886916733i
-0.601004491371977+0.000000000000000i,-0.656894372243688-0.090270489639560i,-0.638623400134712-0.178846875126156i,-0.551634282881336-0.239376659087003i,-0.422510584236530-0.256487227844303i,-0.286007495321771-0.232016701131954i,-0.170094215889552-0.181414166656710i,-0.088035576088898-0.123770509453413i,-0.039989108905007-0.074340765961398i,-0.015145745195021-0.041906753213624i,0.000713995793880-0.019553159001342i,-0.000784277405300+0.001954782701099i,-0.017502865721914-0.005989144613913i,0.009483416986246-0.028567249426038i,0.037741986782080+0.019323382680746i,-0.032923330812554+0.044661022343415i,-0.045963907569426-0.046358280322434i,0.055706182213005-0.040373657462757i,0.029595953441600+0.057863172277037i,-0.052222420578898+0.017202618059313i,-0.006758872048547-0.041028501286721i,0.028041015731073-0.000215525795053i,-0.002492653612197+0.016615659173255i,-0.008477490389453-0.002688672029384i,0.001859289609094-0.003677932756078i,0.001325357328066+0.000974569287125i,-0.000397127385676+0.000377336341299i,-0.000073595553434-0.000119658681052i,0.000020088811172-0.000003173968524i,-0.000004391454547-0.000003731745410i,0.000004837036980-0.000002021611910i,0.000000440884126+0.000002429976224i,-0.000000883722370+0.000000000000000i,0.000000008806036-0.000000227712557i,-0.000000345950679+0.000000115498797i,-0.000002515547962-0.000000766432313i,-0.000008889986038-0.000009880102138i,-0.000010909751652-0.000056143793676i,0.000073629451461-0.000201349701142i,0.000552451025949-0.000443893010803i,0.002063013095694-0.000276400649124i,0.005004663265313+0.002178179847040i,0.007416737784928+0.010458801904257i,0.001993960806451+0.026972734949306i,-0.023182628527580+0.045788873129615i,-0.074311227313422+0.046630375911602i,-0.135206073121655+0.002641949790035i,-0.163240488033937-0.093532587480272i,-0.115770512157374-0.206106805987585i,0.006882391173984-0.268332892357111i,0.146762476949034-0.233224357774275i,0.227586594505990-0.116923145031838i,0.214609026898839+0.012575731336997i,0.135878404229219+0.091135456542247i,0.048990065090499+0.102187339965061i,-0.006237408085004+0.072762832757906i,-0.026046495711832+0.039784498841296i,-0.029450235490406+0.024574654375458i,-0.038389797009853+0.030321866543768i,-0.068804543103326+0.051038824120894i,-0.130683549322741+0.077661086761753i,-0.227904162375725+0.098456378732714i,-0.354206271517722+0.099124007010284i,-0.489243367130997+0.067229526745963i
-0.304017695200497+0.000000000000000i,-0.338372631264442-0.050729970920097i,-0.333875809071283-0.101265801572777i,-0.291997783125594-0.136466570491264i,-0.226055440630267-0.147185755896180i,-0.154430723226592-0.134015800624860i,-0.092620259024783-0.105313929669421i,-0.048724937405668-0.072374491701527i,-0.022128011199001-0.044524858882695i,-0.007504358334651-0.024185382411550i,-0.001838831175742-0.011007866422569i,0.001190049615284-0.004240235050290i,-0.001186405457318+0.004958196953744i,-0.016941594545763-0.004554739947843i,0.010651657813283-0.033126666187429i,0.052653967604715+0.022769783495397i,-0.040214939090691+0.071553570499957i,-0.083999544048402-0.059528941627726i,0.075321392268795-0.085778374153421i,0.076525358468303+0.082502475997699i,-0.078915411780032+0.059765726722988i,-0.040880097731843-0.066343405392922i,0.049266929942671-0.024469028871178i,0.012790068541984+0.032452893692482i,-0.019033975433623+0.005818847650960i,-0.002293249331219-0.009976508791957i,0.004690902258707-0.000777956126399i,0.000225324721203+0.001986770103325i,-0.000761348909879+0.000055166365708i,-0.000011277565459-0.000265209096089i,0.000084360169619-0.000001885628516i,0.000000250895327+0.000024585587291i,-0.000006461016900-0.000000000000000i,0.000000583428568-0.000001312704774i,0.000001924004522+0.000002454768252i,0.000000802237395+0.000011775309529i,-0.000017703347368+0.000039047598313i,-0.000112241108350+0.000086370161822i,-0.000416780454012+0.000072317995396i,-0.001089878205972-0.000343954101308i,-0.001996403750993-0.001957120568501i,-0.002035509746509-0.005857222782499i,0.001452759977115-0.012410500408033i,0.012128002927686-0.019468153036782i,0.032120959783586-0.021186772267996i,0.058435449457722-0.009486413493488i,0.081056018098230+0.021207279223976i,0.085534896761204+0.068014922493864i,0.060564419559823+0.116575990189165i,0.007379505867410+0.145111599044783i,-0.055953555704297+0.136379887566684i,-0.102080872920845+0.090922357324346i,-0.111609010375746+0.029650865343114i,-0.086406235777815-0.019477675398159i,-0.046367670229065-0.040191636744936i,-0.013163757806504-0.035317273502594i,0.003066111347361-0.018451772836097i,0.003937658909180-0.000924295859471i,-0.005664087297417+0.013993245226500i,-0.024666912188951+0.028097506157475i,-0.056570934830241+0.042383910747011i,-0.105374449646919+0.053507517301951i,-0.170223422755090+0.054208039402792i,-0.241958021821636+0.037115085796312i
-0.228961314946983+0.000000000000000i,-0.233294022764636-0.036306342921370i,-0.209869033254164-0.064907860264743i,-0.167254141104835-0.077625154439777i,-0.118665563299683-0.073691967177456i,-0.075293732534646-0.058633378318521i,-0.043234896161407-0.039396504567820i,-0.024799565580916-0.023225489534183i,-0.012330916737614-0.016838996708590i,0.004268786868176-0.005737963845141i,-0.007054643781276+0.017368247861856i,-0.036494254643592-0.016741665963144i,0.037948395312654-0.054418780153150i,0.069909202822720+0.075681603063295i,-0.126109917995522+0.074627514765018i,-0.059521664663793-0.179883680922608i,0.222370993771608-0.022401079159003i,-0.029200143562490+0.239010400721071i,-0.223090417804062-0.080205195671585i,0.114961214683655-0.179762215498837i,0.123361493642840+0.124924383153993i,-0.111920789358092+0.069984353986289i,-0.030396691899297-0.085367796148700i,0.056270651038694-0.007338672029205i,-0.002517366965590+0.032283544108950i,-0.016163129919104-0.004651519605436i,0.003650633563893-0.007055109605450i,0.002671834283075+0.002116272143729i,-0.001004066983922+0.000868512899863i,-0.000236971013836-0.000404836392180i,0.000141182352470-0.000051507604058i,0.000007535132257+0.000042976553111i,-0.000011443804553+0.000000000000000i,0.000000599151214-0.000002600800424i,0.000000786631348+0.000000868082588i,-0.000000944318717+0.000002750409679i,-0.000008522920564+0.000005373974131i,-0.000033267826864-0.000004955228788i,-0.000067179994369-0.000081633685588i,0.000016236315784-0.000315194012955i,0.000626366845591-0.000636454079761i,0.002355047535940-0.000224716437743i,0.004865503831886+0.003128117511805i,0.004572628872942+0.012069467222450i,-0.006478960528134+0.025284880908327i,-0.035646010544857+0.031657064032861i,-0.077667985962844+0.011535402348383i,-0.106453362726078-0.047490095180525i,-0.087215067738186-0.129331443829481i,-0.008038787984598-0.188066844465430i,0.098608874270209-0.179637482237306i,0.173851106944084-0.101570127733648i,0.178649758299814+0.001341049769303i,0.122848230395673+0.073783276517909i,0.049896876808816+0.091545162904839i,-0.001761048089893+0.069625626042188i,-0.021769716970235+0.038771451150280i,-0.022499054543005+0.020363494588763i,-0.021733550808069+0.019232040535681i,-0.031756030303751+0.030017499221611i,-0.057785591621404+0.044379488380605i,-0.099267819834751+0.053863213294866i,-0.149887255580908+0.051083345765331i,-0.197799391683230+0.032232167721062i
